,PLAYER,TEAM,POSITION,PRICE 1,MINUTES 1,POINTS 1,PRICE 2,MINUTES 2,POINTS 2,PRICE 3,MINUTES 3,POINTS 3,PRICE 4,MINUTES 4,POINTS 4,PRICE 5,MINUTES 5,POINTS 5,PRICE 6,MINUTES 6,POINTS 6,PRICE 7,MINUTES 7,POINTS 7,PRICE 8,MINUTES 8,POINTS 8,PRICE 9,MINUTES 9,POINTS 9,PRICE 10,MINUTES 10,POINTS 10,PRICE 11,MINUTES 11,POINTS 11,PRICE 12,MINUTES 12,POINTS 12,PRICE 13,MINUTES 13,POINTS 13,PRICE 14,MINUTES 14,POINTS 14,PRICE 15,MINUTES 15,POINTS 15,PRICE 16,MINUTES 16,POINTS 16,PRICE 17,MINUTES 17,POINTS 17,PRICE 18,MINUTES 18,POINTS 18,PRICE 19,MINUTES 19,POINTS 19,PRICE 20,MINUTES 20,POINTS 20,PRICE 21,MINUTES 21,POINTS 21,PRICE 22,MINUTES 22,POINTS 22,PRICE 23,MINUTES 23,POINTS 23,PRICE 24,MINUTES 24,POINTS 24,PRICE 25,MINUTES 25,POINTS 25,PRICE 26,MINUTES 26,POINTS 26,PRICE 27,MINUTES 27,POINTS 27,PRICE 28,MINUTES 28,POINTS 28,PRICE 29,MINUTES 29,POINTS 29,PRICE 30,MINUTES 30,POINTS 30,PRICE 31,MINUTES 31,POINTS 31,PRICE 32,MINUTES 32,POINTS 32,PRICE 33,MINUTES 33,POINTS 33,PRICE 34,MINUTES 34,POINTS 34,PRICE 35,MINUTES 35,POINTS 35,PRICE 36,MINUTES 36,POINTS 36,PRICE 37,MINUTES 37,POINTS 37,PRICE 38,MINUTES 38,POINTS 38
0,Alexis Mac Allister,Liverpool,MID,60,90,1,60,57,-2,60,76,2,60,86,3,60,45,0,59,87,6,59,79,1,59,90,2,59,90,3,59,90,2,58,90,1,58,0,0,58,84,2,58,64,9,58,58,1,58,0,0,58,0,0,58,0,0,58,0,0,58,15,1,58,90,3,58,90,2,58,90,2,58,90,2,58,170,17,58,0,0,58,90,6,58,90,10,58,0,0,58,90,4,58,90,10,59,90,2,59,90,2,59,106,3,59,90,1,59,74,2,59,90,2,59,69,9
0,Alfie Dorrington,Spurs,DEF,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0
0,Alfie Doughty,Luton,DEF,45,26,0,45,0,0,45,20,1,44,77,2,44,16,1,44,71,3,44,172,9,44,90,2,44,90,1,44,78,0,44,90,2,44,72,2,44,78,2,44,0,0,44,87,8,44,90,0,44,0,0,44,90,9,44,78,7,44,90,9,45,90,5,45,90,6,45,78,3,46,86,1,46,154,1,46,0,0,46,90,5,47,180,5,47,45,1,47,82,2,47,90,1,46,90,2,46,90,0,45,90,-1,45,87,1,44,90,2,43,86,4,43,90,5
0,Alfie Gilchrist,Chelsea,DEF,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,1,1,40,1,1,40,1,1,40,0,0,40,9,1,40,6,1,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,3,1,40,15,1,40,0,0,40,2,7,40,77,-1,40,84,6,40,1,1,40,0,0,40,0,0
0,Alfie Whiteman,Spurs,GK,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0
0,Alisson Ramses Becker,Liverpool,GK,55,90,3,55,90,2,55,90,5,55,90,8,55,90,2,55,90,3,55,90,4,55,90,1,55,90,8,55,90,7,56,90,6,56,90,7,56,90,3,56,0,0,56,0,0,56,90,3,56,90,6,56,90,2,56,90,6,56,90,1,57,90,6,57,90,2,57,90,2,57,0,0,58,0,0,58,0,0,58,0,0,58,0,0,58,0,0,57,0,0,57,0,0,57,0,0,57,90,3,57,180,5,57,90,3,57,90,2,57,90,1,57,90,6
0,Allan Campbell,Luton,MID,50,0,0,50,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0
0,Allan Saint-Maximin,Newcastle,MID,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0
0,Alphonse Areola,West Ham,GK,40,90,3,40,90,10,40,90,5,41,90,2,41,90,4,41,90,2,42,90,6,42,90,1,42,90,1,42,90,3,43,90,1,43,90,2,43,90,3,43,90,2,43,0,0,43,0,0,42,0,0,42,90,8,42,90,10,42,90,11,42,90,3,42,90,3,42,45,1,42,90,0,42,90,3,42,90,2,42,90,13,43,90,2,43,90,3,43,45,2,43,0,0,42,0,0,42,0,0,42,0,0,42,90,1,42,90,3,42,90,2,42,90,4
0,Altay Bayindir,Man Utd,GK,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0
0,Amad Diallo,Man Utd,MID,45,0,0,45,0,0,45,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,36,1,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,10,1,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,45,1,44,35,1,44,25,1,44,10,1,44,150,14,44,74,3
0,Amadou Diallo,Newcastle,MID,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,1,1,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0
