id,name,position,team,kickoff_time,value,was_home,opponent,gameweek,season,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
636,Federico Chiesa,MID,Liverpool,20,68,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,17898.333333333332,0.0,0.0,-483.3333333333333,407.3333333333333,890.6666666666666,0.0,2.0,1.0,2.3333333333333335
660,Vítezslav Jaros,GKP,Liverpool,20,40,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,11717.666666666666,0.0,0.0,-770.6666666666666,21.666666666666668,792.3333333333334,0.0,2.0,1.0,2.3333333333333335
669,Harvey Davies,GKP,Liverpool,20,40,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1752.6666666666667,0.0,0.0,-27.0,42.0,69.0,0.0,2.0,1.0,2.3333333333333335
688,Treymaurice Nyoni,MID,Liverpool,20,45,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,440.6666666666667,0.0,0.0,10.333333333333334,45.666666666666664,35.333333333333336,0.0,2.0,1.0,2.3333333333333335
692,Amara Nallo,DEF,Liverpool,20,40,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1227.3333333333333,0.0,0.0,5.0,72.0,67.0,0.0,2.0,1.0,2.3333333333333335
709,Jayden Danns,FWD,Liverpool,20,45,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3230.3333333333335,0.0,0.0,-595.0,282.6666666666667,877.6666666666666,0.0,2.0,1.0,2.3333333333333335
340,Manuel Akanji,DEF,Man City,19,53,False,Spurs,27,2024-25,0.0,0.0,-3.3333333333333335,0.0,2.0,1.6666666666666667,0.0,0.5333333333333333,1.1333333333333333,30.0,0.0,0,0,0.0,0.0,289585.3333333333,2.3333333333333335,0.0,-11430.666666666666,2054.3333333333335,13485.0,0.0,1.6666666666666667,2.3333333333333335,1.0
341,Nathan Aké,DEF,Man City,19,53,False,Spurs,27,2024-25,0.0,0.0,2.0,0.0,4.266666666666667,0.6666666666666666,0.0,0.9333333333333332,4.3999999999999995,25.333333333333332,0.0,0,0,0.0,0.0,95807.0,0.6666666666666666,0.3333333333333333,-2507.3333333333335,687.0,3194.3333333333335,0.0,1.6666666666666667,2.3333333333333335,1.0
342,Bernardo Veiga de Carvalho e Silva,MID,Man City,19,61,False,Spurs,27,2024-25,0.0,0.0,3.6666666666666665,0.0,1.0333333333333334,1.6666666666666667,0.0,0.5666666666666667,4.0,30.0,0.0,0,0,0.0,0.0,314784.0,0.6666666666666666,0.6666666666666666,-11761.333333333334,2859.3333333333335,14620.666666666666,0.0,1.6666666666666667,2.3333333333333335,1.0
343,Oscar Bobb,MID,Man City,19,47,False,Spurs,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,5992.666666666667,0.0,0.0,-17.0,140.66666666666666,157.66666666666666,0.0,1.6666666666666667,2.3333333333333335,1.0
344,Scott Carson,GKP,Man City,19,39,False,Spurs,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,21173.333333333332,0.0,0.0,194.33333333333334,563.3333333333334,369.0,0.0,1.6666666666666667,2.3333333333333335,1.0
345,Kevin De Bruyne,MID,Man City,19,93,False,Spurs,27,2024-25,0.0,0.0,3.3333333333333335,0.0,9.066666666666666,1.3333333333333333,0.0,1.3666666666666665,2.3333333333333335,27.666666666666668,0.0,0,0,0.0,0.0,451665.3333333333,2.3333333333333335,1.0,-23057.666666666668,4447.333333333333,27505.0,0.0,1.6666666666666667,2.3333333333333335,1.0
346,Jérémy Doku,MID,Man City,19,62,False,Spurs,27,2024-25,0.0,0.0,8.333333333333334,0.0,13.9,0.6666666666666666,0.0,3.766666666666666,8.133333333333333,34.666666666666664,0.0,0,0,0.0,0.0,144294.0,15.333333333333334,1.0,-5025.333333333333,557.3333333333334,5582.666666666667,0.0,1.6666666666666667,2.3333333333333335,1.0
347,Ederson Santana de Moraes,GKP,Man City,19,53,False,Spurs,27,2024-25,0.3333333333333333,0.6666666666666666,13.333333333333334,0.3333333333333333,3.3333333333333335,0.6666666666666666,0.0,1.9333333333333336,16.0,60.0,0.0,0,0,0.0,1.0,530861.3333333334,0.0,4.0,-334.0,7489.0,7823.0,0.0,1.6666666666666667,2.3333333333333335,1.0
348,Phil Foden,MID,Man City,19,93,False,Spurs,27,2024-25,0.0,0.0,12.666666666666666,0.3333333333333333,25.099999999999998,1.6666666666666667,0.0,3.9,7.133333333333333,78.66666666666667,0.0,0,0,0.0,0.0,881583.6666666666,8.0,2.3333333333333335,-35742.0,64408.0,100150.0,0.0,1.6666666666666667,2.3333333333333335,1.0
349,Jack Grealish,MID,Man City,19,64,False,Spurs,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,23708.666666666668,0.0,0.0,-391.6666666666667,496.3333333333333,888.0,0.0,1.6666666666666667,2.3333333333333335,1.0
350,Joško Gvardiol,DEF,Man City,19,59,False,Spurs,27,2024-25,0.0,0.0,11.333333333333334,0.3333333333333333,15.300000000000002,2.3333333333333335,0.0,5.1000000000000005,18.26666666666667,88.66666666666667,0.0,0,0,0.0,0.0,2095469.6666666667,17.0,2.3333333333333335,-14281.0,66168.0,80449.0,0.0,1.6666666666666667,2.3333333333333335,1.0
351,Erling Haaland,FWD,Man City,19,147,False,Spurs,27,2024-25,0.3333333333333333,0.0,15.0,0.3333333333333333,7.833333333333333,1.6666666666666667,0.3333333333333333,4.733333333333333,15.799999999999999,58.666666666666664,0.0,0,0,0.0,0.0,3114066.6666666665,23.666666666666668,3.6666666666666665,-61790.0,27825.666666666668,89615.66666666667,0.0,1.6666666666666667,2.3333333333333335,1.0
352,Julián Álvarez,FWD,Man City,19,70,False,Spurs,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,9912.666666666666,0.0,0.0,-30.666666666666668,0.0,30.666666666666668,0.0,1.6666666666666667,2.3333333333333335,1.0
353,João Cavaco Cancelo,DEF,Man City,19,53,False,Spurs,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,22498.333333333332,0.0,0.0,-85.66666666666667,0.0,85.66666666666667,0.0,1.6666666666666667,2.3333333333333335,1.0
354,Mateo Kovačić,MID,Man City,19,54,False,Spurs,27,2024-25,0.0,0.0,9.0,0.0,4.1000000000000005,1.6666666666666667,0.0,1.5333333333333332,8.733333333333333,35.0,0.0,0,0,0.0,0.0,136965.0,2.3333333333333335,1.3333333333333333,-490.0,4840.666666666667,5330.666666666667,0.0,1.6666666666666667,2.3333333333333335,1.0
