id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
169,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,59,-61,15099,0,61,Conor Gallagher,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,15235.0,0.0,0.0,-78.0,0.0,78.0,0.0,2.0,2.0,1.3333333333333333
170,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,-41,3190,0,41,Alfie Gilchrist,DEF,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3259.6666666666665,0.0,0.0,-39.0,0.0,39.0,0.0,2.0,2.0,1.3333333333333333
171,1,True,20,24,False,29,0,0,0,0,0,0,0,0,0,0,0,4,5.4,12.8,2.0,2.0,0,0,0,0,0,0,0,49,-9870,176596,2102,11972,Malo Gusto,DEF,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,2.6666666666666665,0.0,0.5333333333333333,0.3333333333333333,0.0,0.3,2.4,10.0,0.0,0,0,0.0,0.0,205833.0,0.0,0.6666666666666666,-16245.0,3834.0,20079.0,0.0,2.0,2.0,1.3333333333333333
172,1,True,20,24,False,60,0,0,0,1,0,0,0,1,0,0,0,13,19.2,42.6,0.0,6.2,0,0,0,0,0,0,0,48,22040,87417,26424,4384,Reece James,DEF,Chelsea,West Ham,2024-25,2,1,3,0.3333333333333333,0.3333333333333333,13.333333333333334,0.0,14.566666666666668,1.3333333333333333,0.3333333333333333,4.233333333333333,22.399999999999995,60.666666666666664,0.0,0,0,0.0,0.0,41112.333333333336,5.333333333333333,4.666666666666667,12736.666666666666,15246.666666666666,2510.0,0.0,2.0,2.0,1.3333333333333333
173,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,43,2573,7198,3084,511,Omari Kellyman,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2876.6666666666665,0.0,0.0,222.0,323.0,101.0,0.0,2.0,2.0,1.3333333333333333
174,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,-2671,52775,48,2719,Roméo Lavia,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,1.8333333333333333,0.3333333333333333,0.0,0.26666666666666666,0.7333333333333334,18.333333333333332,0.0,0,0,0.0,0.0,58251.666666666664,0.0,0.0,-2783.0,520.6666666666666,3303.6666666666665,0.3333333333333333,2.0,2.0,1.3333333333333333
175,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,63,-76,20816,0,76,Romelu Lukaku Bolingoli,FWD,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,20957.333333333332,0.0,0.0,-77.33333333333333,0.0,77.33333333333333,0.0,2.0,2.0,1.3333333333333333
176,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,-1,267,0,1,Malang Sarr,DEF,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,267.6666666666667,0.0,0.0,-1.0,0.0,1.0,0.0,2.0,2.0,1.3333333333333333
177,2,True,20,24,False,60,0,0,0,1,0,0,0,0,0,0,0,10,8.0,37.7,8.0,5.4,0,0,0,0,0,0,0,61,37996,515243,52997,15001,Noni Madueke,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.6666666666666666,19.333333333333332,0.0,17.099999999999998,2.0,0.6666666666666666,8.766666666666666,26.399999999999995,84.33333333333333,0.0,0,0,0.0,0.0,496600.3333333333,44.333333333333336,6.0,-44210.666666666664,6068.333333333333,50279.0,0.0,2.0,2.0,1.3333333333333333
178,1,True,20,24,False,38,0,0,0,0,0,0,0,0,0,0,0,6,4.4,11.5,6.0,2.2,0,0,0,0,0,0,0,47,-964,66010,2426,3390,Marc Guiu Paz,FWD,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,67472.66666666667,0.0,0.0,-21.0,3708.3333333333335,3729.3333333333335,0.0,2.0,2.0,1.3333333333333333
